identifier,company,parsed_name,industry,employees,share_price,market_cap_m,description
549300LTH67W4GWMRF57,COCA-COLA EUROPACIFIC PARTNERS PLC,Coca-Cola Europacific Partners plc,Beverages,39000,78.7,37959.09,"Coca-Cola Europacific Partners plc is a United Kingdom-based consumer goods company. The Company is engaged in making, selling and distributing an extensive range of primarily non-alcoholic ready-to-drink (RTD) beverages. The Company's product categories include Coca-Cola trademark; flavors and mixers; waters, sports, RTD tea and coffee, and other including energy. Its brands include Coca-Cola Original Taste, Coca-Cola Zero Sugar, Diet Coke, Sprite, Fanta, Monster Energy, Costa Coffee and Fuze Tea. The Company's operations include Europe and Australia, Pacific and Southeast Asia (APS). Its Europe operations include FBN (France, Monaco, Belgium, Luxembourg, the Netherlands, Norway, Sweden and Iceland), Germany, Great Britain, and Iberia (Spain, Portugal and Andorra). The Company's APS operations include Australia/Pacific (Australia, New Zealand, the Pacific Islands and Papua New Guinea), and Southeast Asia (Indonesia and the Philippines). It operates in approximately 31 markets."
549300EFP3TNG7JGVE49,Coca-Cola HBC AG,Coca Cola HBC AG,Beverages,33966,45.34,18069.54,"Coca Cola HBC AG is a Switzerland-based bottler of Coca-Cola products. The Company's segments include Established markets, including Austria, Cyprus, Greece, Italy, Northern Ireland, Republic of Ireland and Switzerland; Developing markets, including Croatia, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Poland, Slovakia and Slovenia, and Emerging markets, including Armenia, Belarus, Bosnia and Herzegovina, Bulgaria, Macedonia, Moldova, Montenegro, Nigeria, Romania, Russian Federation, Serbia and Ukraine. The Company produces, sells and distributes primarily non-alcoholic, ready-to-drink beverages. The Company markets Coca-Cola, Coca-Cola Zero, Coca-Cola Light, Fanta, Sprite, Monster and Fuzetea among others."
213800ZVIELEA55JMJ32,DIAGEO PLC,Diageo plc,Beverages,29632,16.57,40308.44,"Diageo plc is a United Kingdom-based international manufacturer and distributor of premium drinks. The Company offers beverage alcohol with a collection of brands across spirits and beer categories. Its segments include North America, Europe, Asia Pacific, Latin America and Caribbean, Africa, and Corporate and other. The SC&P segment manufactures products and includes production sites in the United Kingdom, Ireland, Italy, Guatemala and Mexico, as well as comprises the global procurement function. Its principal products include scotch whisky, whisk(e)y, vodka, tequila, gin, rum, liqueurs, beer, wine, and non-alcoholic spirits. Its collection of brands includes Johnnie Walker, J&B and Buchanan's whiskies, Smirnoff, Ciroc and Ketel One vodkas, Captain Morgan, Don Julio, Guinness, and Tanqueray, among others. It offers Ritual Zero Proof Non-Alcoholic Spirits (Ritual). It owns manufacturing production facilities across the globe, including distilleries, breweries, and packaging plants."
635400RXXHHYT1JTSZ26,Experian plc,Experian PLC,Professional & Commercial Services,25200,28.14,27209.45,"Experian PLC is a global data and technology company. The Company helps to redefine lending practices, uncover and prevent fraud, simplify healthcare, deliver digital marketing solutions, and gain deeper insights into the automotive market, all using its combination of data, analytics and software. The Company also assists various people to realize their financial goals and helps them to save time and money. It operates across a range of industries, from financial services to healthcare, automotive, agri finance, insurance, and many more industry segments. It is organized around five ecosystems: financial services, consumer services, health, automotive, and marketing services. It provides automotive manufacturers, dealers, lenders, and insurers with data and analytics to better understand vehicles and customers. The Company also owns KYC360, which is a recognized player in regulatory technology, focusing on anti-financial crime solutions."
549300JXWH1UV5J0XV81,FRESNILLO PLC,Fresnillo PLC,Metals & Mining,7348,31.46,25349.74,"Fresnillo PLC is a holding company. The Company operates several mines, including the Fresnillo, Saucito, and Herradura mines. These mines are known for their production of silver and gold. The Fresnillo mine, located in Zacatecas, is one of the oldest and productive silver mines in the world. The Saucito mine, also in Zacatecas, is a source of silver and gold, with modern infrastructure and high production rates. The Herradura mine, located in Sonora, is one of their open-pit gold mines in Mexico. The Company's mining operations involve both underground and open-pit mining methods, depending on the characteristics of each deposit. The company uses modern mining techniques and equipment to ensure efficient and safe operations. Once the ore is extracted, it is processed at on-site facilities to separate the valuable metals from the waste material."
2138002658CPO9NBH955,GLENCORE PLC,Glencore PLC,Metals & Mining,80423,6.02,76974.95,"Glencore PLC is a Switzerland-based producer and marketer of natural resources. The Company is a producer and marketer of coal, with mines in Australia, Africa and South America - and a marketer of crude oil, refined products and natural gas. The Company operates across two business segments: Industrial Activities and Marketing. Industrial Activities segment contains of producing a diverse range of metals and minerals - such as copper, cobalt, zinc, nickel, coal and ferroalloys. Marketing segment is responsible for physically sourcing commodities and products from its global supplier base and sell them to customers all over the world, transporting commodities by sea, rail and truck. The Company is also involved in the recycling of copper and precious metals."
5493000HZTVUYLO1D793,GSK PLC,GSK plc,Pharmaceuticals,66841,18.47,80905.99,"GSK plc is a United Kingdom-based biopharma company. The Company is focused on the science of the immune system and advanced technologies, investing in four core therapeutic areas-respiratory, immunology and inflammation; oncology; human immunodeficiency virus (HIV), and infectious diseases. Its segments include Commercial Operations and Research and Development. Its specialty medicines prevent and treat diseases, from asthma, cancer and HIV to autoimmune diseases like lupus. General medicines include inhalers for asthma and chronic obstructive pulmonary disease (COPD) to antibiotics. It also owns ozureprubart, a long-acting anti-immunoglobulin E (IgE) monoclonal antibody and HS235, a potential molecule for the treatment of pulmonary hypertension (PH). Its oncology portfolio also includes Zidesamtinib (NVL-520), neladalkib (NVL-655), and NVL-330. Its products include Anoro Ellipta, Apretude, Arexvy, Bexsero, Blenrep, Blujepa, Boostrix, Cervarix, Dovato, Efimosfermin, among others."
549300PSB3WWEODCUP19,HALEON PLC,Haleon plc,Pharmaceuticals,24000,3.53,33930.21,"Haleon plc is a consumer healthcare company. The Company’s product portfolio spans six major categories, including oral health, vitamins, minerals and supplements (VMS), pain relief, respiratory health, digestive health and therapeutic skin health and others. The Company's segments include North America, Europe, Asia Pacific, and International. Its respiratory health brands offer product solutions for a range of respiratory issues, including cold and flu, nasal congestion, coughs, and allergies. The Company’s oral health brands include Sensodyne, Polident, and Parodontax. Its VMS brands include Centrum, Emergen-C, and Caltrate. Its respiratory brands include Otrivin, Theraflu, Flonase, Contac, and Beechams. Its pain relief brands include Voltaren, Panadol, and Advil. Its digestive health brands include TUMS, ENO, and Benefiber. Its therapeutic skin health brands include Fenistil, Zovirax, and Bactroban."
MLU0ZO3ML4LN2LL2TL39,HSBC HOLDINGS PLC,HSBC Holdings plc,Banking Services,206161,15.8,296615.3,"HSBC Holdings plc (HSBC) is a banking and financial services company. Its business segments include Hong Kong, UK, Corporate and Institutional Banking (CIB), and International Wealth and Premier Banking (IWPB). Its Hong Kong business comprises retail banking and wealth and commercial banking of HSBC Hong Kong and Hang Seng Bank. Its UK business comprises UK retail banking and wealth (including first direct and M&S Bank) and UK commercial banking, including HSBC Innovation Bank. CIB segment is formed from the integration of its commercial banking business (outside the UK and Hong Kong) with its global banking and markets business. IWPB segment comprises premier banking outside of Hong Kong and the UK, its private bank, and its wealth manufacturing businesses of asset management and insurance. Its customers worldwide through a network covering 56 countries and territories. Its customers range from personal banking and wealth customers to large corporates, institutions and governments."
549300DFVPOB67JL3A42,IMPERIAL BRANDS PLC,Imperial Brands PLC,Food & Tobacco,25100,24.89,20581.4,"Imperial Brands PLC is a fast-moving consumer goods company. The Company offers a range of cigarettes, fine cut and smokeless tobacco, papers, and cigars. The Company operates through two businesses: Tobacco & NGP and Distribution. The Tobacco & NGP business manufactures, markets, and sells tobacco and next-generation products (NGP) and tobacco and NGP-related products, including sales to (but not by) the Distribution business. The Distribution business distributes tobacco and NGP products for tobacco and NGP product manufacturers, including Imperial Brands, as well as a range of non-tobacco and NGP products and services. Its segments include Europe, Americas, Africa, Asia, Australasia and Central and Eastern Europe (AAACE) and Distribution. It brands include John Player Special, Davidoff, Gauloises, West, Winston, Kool, Lambert & Butler, Fortuna, Nobel, News, Backwoods, Champion, Golden Virginia, Maverick, Dutch Masters, Fine, Rizla, blu, Pulze, Skruf, and Zone."
